timestamp,value
2025-06-29T08:08:31Z,30.0
2025-06-29T08:10:31Z,30.0
2025-06-29T08:12:31Z,30.0
2025-06-29T08:14:31Z,30.0
2025-06-29T08:16:31Z,30.0
2025-06-29T08:18:31Z,29.64
2025-06-29T08:20:31Z,26.63
2025-06-29T08:22:31Z,24.63
2025-06-29T08:24:31Z,23.62
2025-06-29T08:26:31Z,30.0
2025-06-29T08:28:31Z,30.0
2025-06-29T08:30:31Z,30.0
2025-06-29T08:32:31Z,30.0
2025-06-29T08:34:31Z,30.0
2025-06-29T08:36:31Z,30.0
2025-06-29T08:38:31Z,28.98
2025-06-29T08:40:31Z,27.98
2025-06-29T08:42:31Z,25.97
2025-06-29T08:44:31Z,23.96
2025-06-29T08:46:31Z,21.96
2025-06-29T08:48:31Z,30.0
2025-06-29T08:50:31Z,30.0
2025-06-29T08:52:31Z,30.0
2025-06-29T08:54:31Z,30.0
2025-06-29T08:56:31Z,30.0
2025-06-29T08:58:31Z,30.0
2025-06-29T09:00:31Z,30.0
2025-06-29T09:02:31Z,28.17
2025-06-29T09:04:31Z,26.16
2025-06-29T09:06:31Z,24.16
2025-06-29T09:08:31Z,22.15
2025-06-29T09:10:31Z,30.0
2025-06-29T09:12:31Z,30.0
2025-06-29T09:14:31Z,30.0
2025-06-29T09:16:31Z,30.0
2025-06-29T09:18:31Z,30.0
2025-06-29T09:20:31Z,30.0
2025-06-29T09:22:31Z,28.51
2025-06-29T09:24:31Z,26.51
2025-06-29T09:26:31Z,24.5
2025-06-29T09:28:31Z,23.0
2025-06-29T09:30:31Z,20.49
2025-06-29T09:32:31Z,30.0
2025-06-29T09:34:31Z,30.0
2025-06-29T09:36:31Z,30.0
2025-06-29T09:38:31Z,30.0
2025-06-29T09:40:31Z,30.0
2025-06-29T09:42:31Z,30.0
2025-06-29T09:44:31Z,30.0
2025-06-29T09:46:31Z,27.62
2025-06-29T09:48:31Z,25.61
2025-06-29T09:50:31Z,23.59
2025-06-29T09:52:31Z,21.59
2025-06-29T09:54:31Z,19.58
2025-06-29T09:56:31Z,17.58
2025-06-29T09:58:31Z,30.0
2025-06-29T10:00:31Z,30.0
2025-06-29T10:02:31Z,30.0
2025-06-29T10:04:31Z,30.0
2025-06-29T10:06:31Z,30.0
2025-06-29T10:08:31Z,30.0
2025-06-29T10:10:31Z,29.57
2025-06-29T10:12:31Z,27.57
2025-06-29T10:14:31Z,25.56
2025-06-29T10:16:31Z,24.56
2025-06-29T10:18:31Z,22.55
2025-06-29T10:20:31Z,30.0
2025-06-29T10:22:31Z,30.0
2025-06-29T10:24:31Z,30.0
2025-06-29T10:26:31Z,30.0
2025-06-29T10:28:31Z,30.0
2025-06-29T10:30:31Z,30.0
2025-06-29T10:32:31Z,29.93
2025-06-29T10:34:31Z,27.93
2025-06-29T10:36:31Z,25.42
2025-06-29T10:38:31Z,22.91
2025-06-29T10:40:31Z,30.0
2025-06-29T10:42:31Z,30.0
2025-06-29T10:44:31Z,30.0
2025-06-29T10:46:31Z,30.0
2025-06-29T10:48:31Z,30.0
2025-06-29T10:50:31Z,30.0
2025-06-29T10:52:31Z,30.0
2025-06-29T10:54:31Z,27.99
2025-06-29T10:56:31Z,25.99
2025-06-29T10:58:31Z,23.98
2025-06-29T11:00:31Z,30.0
2025-06-29T11:02:31Z,30.0
2025-06-29T11:04:31Z,30.0
2025-06-29T11:06:31Z,30.0
2025-06-29T11:08:31Z,30.0
2025-06-29T11:10:31Z,30.0
