timestamp,value
2025-06-29T08:08:15Z,287.94
2025-06-29T08:10:15Z,278.4
2025-06-29T08:12:15Z,291.14
2025-06-29T08:14:15Z,299.94
2025-06-29T08:16:15Z,306.28
2025-06-29T08:18:15Z,305.62
2025-06-29T08:20:15Z,289.12
2025-06-29T08:22:15Z,300.74
2025-06-29T08:24:15Z,296.94
2025-06-29T08:26:15Z,294.02
2025-06-29T08:28:15Z,278.13
2025-06-29T08:30:15Z,264.54
2025-06-29T08:32:15Z,286.12
2025-06-29T08:34:15Z,293.91
2025-06-29T08:36:15Z,297.6
2025-06-29T08:38:15Z,300.59
2025-06-29T08:40:15Z,307.43
2025-06-29T08:42:15Z,302.8
2025-06-29T08:44:15Z,300.28
2025-06-29T08:46:15Z,298.22
2025-06-29T08:48:15Z,295.9
2025-06-29T08:50:15Z,284.88
2025-06-29T08:52:15Z,283.75
2025-06-29T08:54:15Z,282.49
2025-06-29T08:56:15Z,295.84
2025-06-29T08:58:15Z,301.22
2025-06-29T09:00:15Z,305.45
2025-06-29T09:02:15Z,305.4
2025-06-29T09:04:15Z,299.3
2025-06-29T09:06:15Z,296.16
2025-06-29T09:08:15Z,294.63
2025-06-29T09:10:15Z,287.92
2025-06-29T09:12:15Z,274.29
2025-06-29T09:14:15Z,269.63
2025-06-29T09:16:15Z,285.27
2025-06-29T09:18:15Z,292.81
2025-06-29T09:20:15Z,297.71
2025-06-29T09:22:15Z,278.86
2025-06-29T09:24:15Z,289.27
2025-06-29T09:26:15Z,302.71
2025-06-29T09:28:15Z,300.12
2025-06-29T09:30:15Z,298.21
2025-06-29T09:32:15Z,291.5
2025-06-29T09:34:15Z,281.96
2025-06-29T09:36:15Z,264.4
2025-06-29T09:38:15Z,279.51
2025-06-29T09:40:15Z,283.36
2025-06-29T09:42:15Z,291.07
2025-06-29T09:44:15Z,296.03
2025-06-29T09:46:15Z,268.5
2025-06-29T09:48:15Z,288.45
2025-06-29T09:50:15Z,301.38
2025-06-29T09:52:15Z,298.29
2025-06-29T09:54:15Z,296.91
2025-06-29T09:56:15Z,293.16
2025-06-29T09:58:15Z,293.72
2025-06-29T10:00:15Z,289.09
2025-06-29T10:02:15Z,275.74
2025-06-29T10:04:15Z,277.38
2025-06-29T10:06:15Z,288.32
2025-06-29T10:08:15Z,295.46
2025-06-29T10:10:15Z,295.52
2025-06-29T10:12:15Z,271.8
2025-06-29T10:14:15Z,301.14
2025-06-29T10:16:15Z,298.45
2025-06-29T10:18:15Z,296.36
2025-06-29T10:20:15Z,295.03
2025-06-29T10:22:15Z,282.23
2025-06-29T10:24:15Z,270.37
2025-06-29T10:26:15Z,288.34
2025-06-29T10:28:15Z,295.12
2025-06-29T10:30:15Z,299.91
2025-06-29T10:32:15Z,303.99
2025-06-29T10:34:15Z,305.82
2025-06-29T10:36:15Z,300.57
2025-06-29T10:38:15Z,297.15
2025-06-29T10:40:15Z,294.48
2025-06-29T10:42:15Z,291.62
2025-06-29T10:44:15Z,289.34
2025-06-29T10:46:15Z,286.87
2025-06-29T10:48:15Z,300.42
2025-06-29T10:50:15Z,305.52
2025-06-29T10:52:15Z,309.95
2025-06-29T10:54:15Z,303.28
2025-06-29T10:56:15Z,298.11
2025-06-29T10:58:15Z,292.38
2025-06-29T11:00:15Z,290.92
2025-06-29T11:02:15Z,271.69
2025-06-29T11:04:15Z,263.07
2025-06-29T11:06:15Z,270.63
2025-06-29T11:08:15Z,286.55
2025-06-29T11:10:15Z,291.2
2025-06-29T11:12:15Z,295.17
2025-06-29T11:14:15Z,264.78
2025-06-29T11:16:15Z,305.91
2025-06-29T11:18:15Z,301.96
2025-06-29T11:20:15Z,300.06
2025-06-29T11:22:15Z,297.25
2025-06-29T11:24:15Z,297.18
2025-06-29T11:26:15Z,292.31
2025-06-29T11:28:15Z,280.48
2025-06-29T11:30:15Z,290.91
2025-06-29T11:32:15Z,297.66
2025-06-29T11:34:15Z,302.64
2025-06-29T11:36:15Z,307.38
2025-06-29T11:38:15Z,297.35
2025-06-29T11:40:15Z,299.48
2025-06-29T11:42:15Z,296.26
2025-06-29T11:44:15Z,292.33
2025-06-29T11:46:15Z,276.96
2025-06-29T11:48:15Z,273.25
2025-06-29T11:50:15Z,283.13
2025-06-29T11:52:15Z,294.91
2025-06-29T11:54:15Z,301.61
2025-06-29T11:56:15Z,305.99
2025-06-29T11:58:15Z,303.27
2025-06-29T12:00:15Z,298.63
2025-06-29T12:02:15Z,295.27
2025-06-29T12:04:15Z,291.56
2025-06-29T12:06:15Z,281.36
2025-06-29T12:08:15Z,273.31
2025-06-29T12:10:15Z,272.95
2025-06-29T12:12:15Z,290.3
2025-06-29T12:14:15Z,295.82
2025-06-29T12:16:15Z,300.11
2025-06-29T12:18:15Z,277.78
2025-06-29T12:20:15Z,304.8
2025-06-29T12:22:15Z,300.51
2025-06-29T12:24:15Z,297.75
2025-06-29T12:26:15Z,292.83
2025-06-29T12:28:15Z,287.51
2025-06-29T12:30:15Z,278.2
2025-06-29T12:32:15Z,276.95
2025-06-29T12:34:15Z,293.66
2025-06-29T12:36:15Z,295.23
2025-06-29T12:38:15Z,301.38
2025-06-29T12:40:15Z,298.27
2025-06-29T12:42:15Z,303.65
2025-06-29T12:44:15Z,299.25
2025-06-29T12:46:15Z,296.49
2025-06-29T12:48:15Z,290.13
2025-06-29T12:50:15Z,278.64
2025-06-29T12:52:15Z,275.39
2025-06-29T12:54:15Z,285.07
2025-06-29T12:56:15Z,294.76
2025-06-29T12:58:15Z,301.45
2025-06-29T13:00:15Z,302.83
2025-06-29T13:02:15Z,304.92
2025-06-29T13:04:15Z,300.48
2025-06-29T13:06:15Z,297.62
2025-06-29T13:08:15Z,296.49
2025-06-29T13:10:15Z,290.77
2025-06-29T13:12:15Z,285.48
2025-06-29T13:14:15Z,273.53
2025-06-29T13:16:15Z,287.48
2025-06-29T13:18:15Z,296.77
2025-06-29T13:20:15Z,301.68
2025-06-29T13:22:15Z,291.64
2025-06-29T13:24:15Z,304.64
2025-06-29T13:26:15Z,298.75
2025-06-29T13:28:15Z,295.63
2025-06-29T13:30:15Z,286.08
2025-06-29T13:32:15Z,280.7
2025-06-29T13:34:15Z,266.83
2025-06-29T13:36:15Z,273.66
2025-06-29T13:38:15Z,288.87
2025-06-29T13:40:15Z,290.15
2025-06-29T13:42:15Z,295.78
2025-06-29T13:44:15Z,278.7
2025-06-29T13:46:15Z,304.45
2025-06-29T13:48:15Z,301.21
2025-06-29T13:50:15Z,299.25
2025-06-29T13:52:15Z,297.75
2025-06-29T13:54:15Z,292.76
2025-06-29T13:56:15Z,290.73
2025-06-29T13:58:15Z,283.96
2025-06-29T14:00:15Z,296.41
2025-06-29T14:02:15Z,303.89
