timestamp,value
2025-06-29T08:08:20Z,585.2
2025-06-29T08:10:20Z,567.95
2025-06-29T08:12:20Z,0.0
2025-06-29T08:14:20Z,0.0
2025-06-29T08:16:20Z,0.0
2025-06-29T08:18:20Z,1054.75
2025-06-29T08:20:20Z,650.64
2025-06-29T08:22:20Z,613.71
2025-06-29T08:24:20Z,542.38
2025-06-29T08:26:20Z,611.62
2025-06-29T08:28:20Z,573.69
2025-06-29T08:30:20Z,517.6
2025-06-29T08:32:20Z,0.0
2025-06-29T08:34:20Z,0.0
2025-06-29T08:36:20Z,0.0
2025-06-29T08:38:20Z,0.0
2025-06-29T08:40:20Z,617.83
2025-06-29T08:42:20Z,515.95
2025-06-29T08:44:20Z,476.27
2025-06-29T08:46:20Z,411.39
2025-06-29T08:48:20Z,688.06
2025-06-29T08:50:20Z,595.41
2025-06-29T08:52:20Z,580.13
2025-06-29T08:54:20Z,0.0
2025-06-29T08:56:20Z,0.0
2025-06-29T08:58:20Z,0.0
2025-06-29T09:00:20Z,0.0
2025-06-29T09:02:20Z,709.58
2025-06-29T09:04:20Z,587.85
2025-06-29T09:06:20Z,542.48
2025-06-29T09:08:20Z,437.1
2025-06-29T09:10:20Z,604.91
2025-06-29T09:12:20Z,568.88
2025-06-29T09:14:20Z,50.51
2025-06-29T09:16:20Z,0.0
2025-06-29T09:18:20Z,0.0
2025-06-29T09:20:20Z,0.0
2025-06-29T09:22:20Z,732.92
2025-06-29T09:24:20Z,544.09
2025-06-29T09:26:20Z,520.34
2025-06-29T09:28:20Z,471.18
2025-06-29T09:30:20Z,403.82
2025-06-29T09:32:20Z,658.41
2025-06-29T09:34:20Z,584.66
2025-06-29T09:36:20Z,49.72
2025-06-29T09:38:20Z,0.0
2025-06-29T09:40:20Z,0.0
2025-06-29T09:42:20Z,0.0
2025-06-29T09:44:20Z,697.57
2025-06-29T09:46:20Z,616.57
2025-06-29T09:48:20Z,557.48
2025-06-29T09:50:20Z,540.8
2025-06-29T09:52:20Z,480.84
2025-06-29T09:54:20Z,392.52
2025-06-29T09:56:20Z,287.06
2025-06-29T09:58:20Z,647.92
2025-06-29T10:00:20Z,613.04
2025-06-29T10:02:20Z,577.27
2025-06-29T10:04:20Z,0.0
2025-06-29T10:06:20Z,0.0
2025-06-29T10:08:20Z,0.0
2025-06-29T10:10:20Z,997.92
2025-06-29T10:12:20Z,607.46
2025-06-29T10:14:20Z,558.43
2025-06-29T10:16:20Z,500.3
2025-06-29T10:18:20Z,429.06
2025-06-29T10:20:20Z,646.92
2025-06-29T10:22:20Z,592.31
2025-06-29T10:24:20Z,552.46
2025-06-29T10:26:20Z,0.0
2025-06-29T10:28:20Z,0.0
2025-06-29T10:30:20Z,0.0
2025-06-29T10:32:20Z,0.0
2025-06-29T10:34:20Z,650.66
2025-06-29T10:36:20Z,550.51
2025-06-29T10:38:20Z,494.7
2025-06-29T10:40:20Z,636.61
2025-06-29T10:42:20Z,597.43
2025-06-29T10:44:20Z,591.48
2025-06-29T10:46:20Z,0.0
2025-06-29T10:48:20Z,0.0
2025-06-29T10:50:20Z,0.0
2025-06-29T10:52:20Z,0.0
2025-06-29T10:54:20Z,715.97
2025-06-29T10:56:20Z,622.59
2025-06-29T10:58:20Z,588.91
2025-06-29T11:00:20Z,622.06
2025-06-29T11:02:20Z,593.0
2025-06-29T11:04:20Z,546.11
2025-06-29T11:06:20Z,0.0
2025-06-29T11:08:20Z,0.0
2025-06-29T11:10:20Z,0.0
2025-06-29T11:12:20Z,0.0
2025-06-29T11:14:20Z,640.42
2025-06-29T11:16:20Z,526.15
2025-06-29T11:18:20Z,498.73
2025-06-29T11:20:20Z,438.25
2025-06-29T11:22:20Z,350.37
2025-06-29T11:24:20Z,705.24
2025-06-29T11:26:20Z,613.41
2025-06-29T11:28:20Z,585.23
2025-06-29T11:30:20Z,0.0
2025-06-29T11:32:20Z,0.0
2025-06-29T11:34:20Z,0.0
2025-06-29T11:36:20Z,0.0
2025-06-29T11:38:20Z,748.76
2025-06-29T11:40:20Z,615.17
2025-06-29T11:42:20Z,568.89
2025-06-29T11:44:20Z,403.86
2025-06-29T11:46:20Z,572.52
2025-06-29T11:48:20Z,216.97
2025-06-29T11:50:20Z,0.0
2025-06-29T11:52:20Z,0.0
2025-06-29T11:54:20Z,0.0
2025-06-29T11:56:20Z,347.71
2025-06-29T11:58:20Z,642.87
2025-06-29T12:00:20Z,567.97
2025-06-29T12:02:20Z,520.85
2025-06-29T12:04:20Z,550.88
2025-06-29T12:06:20Z,597.62
2025-06-29T12:08:20Z,560.37
2025-06-29T12:10:20Z,0.0
2025-06-29T12:12:20Z,0.0
2025-06-29T12:14:20Z,0.0
2025-06-29T12:16:20Z,0.0
2025-06-29T12:18:20Z,736.51
2025-06-29T12:20:20Z,545.14
2025-06-29T12:22:20Z,509.15
2025-06-29T12:24:20Z,493.83
2025-06-29T12:26:20Z,384.26
2025-06-29T12:28:20Z,618.44
2025-06-29T12:30:20Z,593.11
2025-06-29T12:32:20Z,0.0
2025-06-29T12:34:20Z,0.0
2025-06-29T12:36:20Z,0.0
2025-06-29T12:38:20Z,0.0
2025-06-29T12:40:20Z,1012.26
2025-06-29T12:42:20Z,615.75
2025-06-29T12:44:20Z,565.27
2025-06-29T12:46:20Z,500.07
2025-06-29T12:48:20Z,570.4
2025-06-29T12:50:20Z,568.89
2025-06-29T12:52:20Z,269.17
2025-06-29T12:54:20Z,0.0
2025-06-29T12:56:20Z,0.0
2025-06-29T12:58:20Z,0.0
2025-06-29T13:00:20Z,1011.96
2025-06-29T13:02:20Z,603.11
2025-06-29T13:04:20Z,531.42
2025-06-29T13:06:20Z,509.93
2025-06-29T13:08:20Z,385.51
2025-06-29T13:10:20Z,686.48
2025-06-29T13:12:20Z,612.4
2025-06-29T13:14:20Z,585.53
2025-06-29T13:16:20Z,0.0
2025-06-29T13:18:20Z,0.0
2025-06-29T13:20:20Z,0.0
2025-06-29T13:22:20Z,920.43
2025-06-29T13:24:20Z,612.75
2025-06-29T13:26:20Z,560.75
2025-06-29T13:28:20Z,532.01
2025-06-29T13:30:20Z,394.84
2025-06-29T13:32:20Z,568.26
2025-06-29T13:34:20Z,535.52
2025-06-29T13:36:20Z,0.0
2025-06-29T13:38:20Z,0.0
2025-06-29T13:40:20Z,0.0
2025-06-29T13:42:20Z,0.0
2025-06-29T13:44:20Z,796.59
2025-06-29T13:46:20Z,551.56
2025-06-29T13:48:20Z,481.83
2025-06-29T13:50:20Z,423.98
2025-06-29T13:52:20Z,339.65
2025-06-29T13:54:20Z,635.23
2025-06-29T13:56:20Z,609.32
2025-06-29T13:58:20Z,582.34
2025-06-29T14:00:20Z,0.0
2025-06-29T14:02:20Z,0.0
2025-06-29T14:04:20Z,0.0
2025-06-29T14:06:20Z,745.99
2025-06-29T14:08:20Z,633.92
2025-06-29T14:10:20Z,578.83
2025-06-29T14:12:20Z,582.32
2025-06-29T14:14:20Z,556.09
2025-06-29T14:16:20Z,522.8
2025-06-29T14:18:20Z,0.0
2025-06-29T14:20:20Z,0.0
2025-06-29T14:22:20Z,0.0
2025-06-29T14:24:20Z,0.0
2025-06-29T14:26:20Z,662.52
2025-06-29T14:28:20Z,483.53
2025-06-29T14:30:20Z,478.85
2025-06-29T14:32:20Z,433.67
2025-06-29T14:34:20Z,351.34
2025-06-29T14:36:20Z,601.0
2025-06-29T14:38:20Z,628.26
2025-06-29T14:40:20Z,583.53
2025-06-29T14:42:20Z,0.0
2025-06-29T14:44:20Z,0.0
2025-06-29T14:46:20Z,0.0
2025-06-29T14:48:20Z,0.0
2025-06-29T14:50:20Z,776.46
2025-06-29T14:52:20Z,574.59
2025-06-29T14:54:20Z,536.93
2025-06-29T14:56:20Z,430.52
2025-06-29T14:58:20Z,607.48
2025-06-29T15:00:20Z,542.95
2025-06-29T15:02:20Z,562.56
2025-06-29T15:04:20Z,0.0
2025-06-29T15:06:20Z,0.0
2025-06-29T15:08:20Z,0.0
2025-06-29T15:10:20Z,731.94
2025-06-29T15:12:20Z,575.62
2025-06-29T15:14:20Z,556.93
2025-06-29T15:16:20Z,504.06
2025-06-29T15:18:20Z,442.24
2025-06-29T15:20:20Z,667.17
2025-06-29T15:22:20Z,574.3
2025-06-29T15:24:20Z,558.91
